caution_speed_kmh,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,aware,11,29,4,0.13793103448275862,4,0,0.0,4,48,6.550000000000892,0.6250000000002345,1.66805555555552,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.5045278072357178
60,aware,12,29,4,0.13793103448275862,4,0,0.0,4,45,9.97500000001002,0.07499999999998153,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.43170428276062
60,aware,13,29,4,0.13793103448275862,4,0,0.0,4,47,11.17500000001285,0.3750000000008811,1.66805555555552,100.0,100.0,0.0,3.2000000000000015,29,4,4,4,1,26,3.4622223377227783
60,aware,14,29,6,0.20689655172413793,6,0,0.0,6,70,9.533333333354827,0.2666666666666515,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.32513427734375
60,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,1.9691433906555176
60,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.9733397960662842
60,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.004859447479248
60,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.0138542652130127
60,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.9731791019439697
60,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.9882020950317383
60,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,1.996265172958374
60,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.0187437534332275
60,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.933318853378296
60,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,1.923975944519043
60,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,1.9078757762908936
60,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.877000093460083
60,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.9248402118682861
60,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,1.8599834442138672
60,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,1.837977647781372
80,detection,0,29,7,0.2413793103448276,7,1,0.14285714285714285,7,88,10.485714285721416,0.24285714285745388,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,4.015106916427612
80,detection,1,29,1,0.034482758620689655,1,0,0.0,1,13,10.899999999990087,0.1999999999998181,0.4180555555555578,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.942716121673584
80,detection,2,29,7,0.2413793103448276,7,0,0.0,7,91,9.571428571447248,0.41428571428679917,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.9797627925872803
80,detection,3,29,6,0.20689655172413793,6,1,0.16666666666666666,6,75,7.883333333336092,0.11666666666686372,2.504166666666584,100.0,100.0,0.0,0.0,29,7,6,6,0,23,4.0473268032073975
80,detection,4,29,6,0.20689655172413793,5,1,0.2,6,75,9.41666666668984,0.316666666667345,2.5013888888888065,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.90897536277771
80,detection,5,29,4,0.13793103448275862,4,0,0.0,4,52,10.775000000002137,0.6749999999996135,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.938453197479248
80,detection,6,29,8,0.27586206896551724,8,3,0.375,8,100,8.587500000011346,0.26250000000052864,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.9881722927093506
80,detection,7,29,4,0.13793103448275862,4,0,0.0,4,49,10.324999999992038,0.29999999999987637,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.9437217712402344
80,detection,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,81,7.43333333333544,0.16666666666662877,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.66906476020813
