animal_rate_per_hr,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
30,detection,2,60,12,0.2,11,2,0.18181818181818182,12,123,9.825000000013318,0.07500000000006442,5.006944444444631,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.732149362564087
30,detection,3,60,12,0.2,11,1,0.09090909090909091,12,121,8.92500000000181,0.18333333333328028,5.012500000000188,100.0,100.0,0.0,0.0,60,14,11,11,0,48,3.8048408031463623
30,detection,4,60,9,0.15,9,0,0.0,9,92,9.70000000001533,0.28888888888977565,3.755555555555458,100.0,100.0,0.0,0.0,60,11,9,9,0,51,3.799497604370117
30,detection,5,60,17,0.2833333333333333,17,0,0.0,17,172,9.200000000010183,0.45882352941243076,7.093055555556218,100.0,100.0,0.0,0.0,60,17,17,17,0,42,3.8591392040252686
30,detection,6,60,9,0.15,8,0,0.0,9,91,7.988888888894991,0.30000000000043453,3.754166666666569,100.0,100.0,0.0,0.0,60,10,8,8,0,51,3.8217782974243164
30,detection,7,60,14,0.23333333333333334,14,0,0.0,14,141,9.321428571437798,0.3428571428574238,5.8430555555559325,100.0,100.0,0.0,0.0,60,14,14,14,0,45,3.9278063774108887
30,detection,8,60,11,0.18333333333333332,11,2,0.18181818181818182,11,110,9.436363636374692,0.40909090909163254,4.59027777777787,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.732553720474243
30,detection,9,60,14,0.23333333333333334,14,3,0.21428571428571427,14,141,8.257142857139469,0.29285714285696585,5.8472222222226,100.0,100.0,0.0,0.0,60,14,14,14,0,46,3.8087007999420166
30,detection,10,60,12,0.2,11,0,0.0,12,120,7.091666666666782,0.4083333333333978,5.00833333333352,100.0,100.0,0.0,0.0,60,12,11,11,0,48,3.6757686138153076
30,detection,11,60,16,0.26666666666666666,16,1,0.0625,16,159,8.925000000020113,0.34375000000074785,6.672222222222788,100.0,100.0,0.0,0.0,60,16,16,16,0,43,3.731473684310913
30,detection,12,60,13,0.21666666666666667,13,1,0.07692307692307693,13,128,9.161538461551851,0.35384615384682677,5.422222222222504,100.0,100.0,0.0,0.0,60,14,13,13,0,46,3.714454412460327
30,detection,13,60,9,0.15,9,0,0.0,9,93,9.333333333331424,0.2777777777778662,3.7597222222221256,100.0,100.0,0.0,0.0,60,11,9,9,0,51,3.721276044845581
30,detection,14,60,11,0.18333333333333332,11,0,0.0,11,112,9.89090909091782,0.1999999999998801,4.59166666666676,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.7774956226348877
30,aware,0,60,11,0.18333333333333332,11,0,0.0,11,110,10.054545454559362,0.263636363636545,4.59027777777787,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.8319766521453857
30,aware,1,60,12,0.2,12,0,0.0,12,121,8.575000000014048,0.4083333333335209,5.004166666666854,100.0,100.0,0.0,0.0,60,13,12,12,0,48,3.8424785137176514
30,aware,2,60,12,0.2,11,2,0.18181818181818182,12,123,9.825000000013318,0.07500000000006442,5.006944444444631,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.8427810668945312
30,aware,3,60,12,0.2,11,1,0.09090909090909091,12,121,8.92500000000181,0.18333333333328028,5.012500000000188,100.0,100.0,0.0,0.0,60,14,11,11,0,48,3.8851218223571777
30,aware,4,60,9,0.15,9,0,0.0,9,92,9.70000000001533,0.28888888888977565,3.755555555555458,100.0,100.0,0.0,0.0,60,11,9,9,0,51,3.864802598953247
30,aware,5,60,17,0.2833333333333333,17,0,0.0,17,172,9.200000000010183,0.45882352941243076,7.093055555556218,100.0,100.0,0.0,0.0,60,17,17,17,0,42,3.838884115219116
30,aware,6,60,9,0.15,8,0,0.0,9,91,7.988888888894991,0.30000000000043453,3.754166666666569,100.0,100.0,0.0,0.0,60,10,8,8,0,51,3.9046177864074707
30,aware,7,60,14,0.23333333333333334,14,0,0.0,14,141,9.321428571437798,0.3428571428574238,5.8430555555559325,100.0,100.0,0.0,0.0,60,14,14,14,0,45,3.9612085819244385
30,aware,8,60,11,0.18333333333333332,11,2,0.18181818181818182,11,110,9.436363636374692,0.40909090909163254,4.59027777777787,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.9657371044158936
30,aware,9,60,14,0.23333333333333334,14,3,0.21428571428571427,14,141,8.257142857139469,0.29285714285696585,5.8472222222226,100.0,100.0,0.0,0.0,60,14,14,14,0,46,3.4819140434265137
30,aware,10,60,12,0.2,11,0,0.0,12,120,7.091666666666782,0.4083333333333978,5.00833333333352,100.0,100.0,0.0,0.0,60,12,11,11,0,48,3.50527024269104
30,aware,11,60,16,0.26666666666666666,16,1,0.0625,16,159,8.925000000020113,0.34375000000074785,6.672222222222788,100.0,100.0,0.0,0.0,60,16,16,16,0,43,3.4559125900268555
30,aware,12,60,13,0.21666666666666667,13,1,0.07692307692307693,13,128,9.161538461551851,0.35384615384682677,5.422222222222504,100.0,100.0,0.0,0.0,60,14,13,13,0,46,3.3427746295928955
30,aware,13,60,9,0.15,9,0,0.0,9,93,9.333333333331424,0.2777777777778662,3.7597222222221256,100.0,100.0,0.0,0.0,60,11,9,9,0,51,3.4472734928131104
30,aware,14,60,11,0.18333333333333332,11,0,0.0,11,112,9.89090909091782,0.1999999999998801,4.59166666666676,100.0,100.0,0.0,0.0,60,12,11,11,0,49,3.3782293796539307
30,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.2600157260894775
30,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.1934821605682373
30,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.261861801147461
30,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2666943073272705
30,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.2544851303100586
30,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.288911819458008
30,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.219336748123169
30,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.2891595363616943
30,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2317545413970947
30,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1770377159118652
30,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1813316345214844
30,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1587860584259033
30,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.0996885299682617
30,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.2090559005737305
30,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.1746268272399902
60,detection,0,120,22,0.18333333333333332,20,0,0.0,22,221,9.863636363651592,0.27727272727311975,9.176388888890022,100.0,100.0,0.0,0.0,120,27,20,20,0,100,3.8771774768829346
60,detection,1,120,26,0.21666666666666667,25,0,0.0,26,262,8.407692307700634,0.31923076923123533,10.850000000001517,100.0,100.0,0.0,0.0,120,27,25,25,0,94,3.7766199111938477
60,detection,2,120,25,0.20833333333333334,23,1,0.043478260869565216,25,255,9.484000000006478,0.3760000000004652,10.437500000001421,100.0,100.0,0.0,0.0,120,26,23,23,0,97,3.903123140335083
60,detection,3,120,31,0.25833333333333336,30,2,0.06666666666666667,31,316,8.354838709687343,0.3161290322584628,12.93750000000199,100.0,100.0,0.0,0.0,120,34,31,30,0,90,3.8646116256713867
60,detection,4,120,28,0.23333333333333334,27,2,0.07407407407407407,28,285,9.503571428578871,0.2000000000002292,11.688888888890595,100.0,100.0,0.0,0.8999999999999999,120,30,27,27,1,93,3.8148300647735596
60,detection,5,120,34,0.2833333333333333,33,2,0.06060606060606061,34,346,8.823529411773855,0.38823529411798274,14.188888888891162,100.0,100.0,0.0,4.000000000000002,120,36,33,33,1,87,3.96586275100708
60,detection,6,120,26,0.21666666666666667,25,2,0.08,26,264,8.942307692325839,0.26923076923144695,10.844444444445958,100.0,100.0,0.0,0.0,120,27,25,25,0,94,3.707852602005005
60,detection,7,120,25,0.20833333333333334,24,3,0.125,25,258,8.9160000000037,0.29999999999997273,10.437500000001421,100.0,100.0,0.0,0.0,120,25,24,24,0,95,3.8828556537628174
60,detection,8,120,29,0.24166666666666667,29,4,0.13793103448275862,29,297,9.600000000011693,0.22413793103491203,12.102777777779577,100.0,100.0,0.0,0.0,120,31,29,29,0,90,3.809394359588623
60,detection,9,120,21,0.175,21,2,0.09523809523809523,21,217,8.847619047628221,0.2761904761908313,8.76388888888993,100.0,100.0,0.0,0.0,120,25,21,21,0,99,3.8577494621276855
60,detection,10,120,23,0.19166666666666668,23,1,0.043478260869565216,23,224,8.300000000013245,0.3739130434786375,9.595833333334562,100.0,100.0,0.0,0.0,120,27,23,23,0,97,3.9671707153320312
60,detection,11,120,21,0.175,18,0,0.0,21,208,8.123809523815348,0.21428571428585097,8.765277777778818,100.0,100.0,0.0,0.0,120,23,18,18,0,102,3.828552722930908
60,detection,12,120,29,0.24166666666666667,29,0,0.0,29,290,9.12758620690788,0.2793103448278634,12.100000000001799,100.0,100.0,0.0,0.0,120,29,29,29,0,91,3.8868839740753174
