radar_range,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
12,aware,2,29,7,0.2413793103448276,6,1,0.16666666666666666,7,72,7.785714285732183,0.35714285714368543,2.9180555555554495,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.033747673034668
12,aware,3,29,2,0.06896551724137931,1,0,0.0,2,21,0.0,0.0,0.8361111111111192,100.0,100.0,0.0,0.0,29,2,1,1,0,28,3.775062084197998
12,aware,4,29,8,0.27586206896551724,6,0,0.0,8,82,5.61250000000652,0.21250000000021885,3.33749999999987,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.8672189712524414
12,aware,5,29,7,0.2413793103448276,2,0,0.0,7,70,2.5857142857231565,0.40000000000091923,2.919444444444338,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.817810535430908
12,aware,6,29,13,0.4482758620689655,12,1,0.08333333333333333,13,130,6.023076923085437,0.5461538461545825,5.420833333333614,100.0,100.0,0.0,0.0,29,12,12,12,0,17,3.9136557579040527
12,aware,7,29,13,0.4482758620689655,9,0,0.0,13,130,4.623076923078622,0.19230769230764203,5.426388888889172,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.828016996383667
12,aware,8,29,8,0.27586206896551724,7,0,0.0,8,81,5.587500000007637,0.20000000000037232,3.3388888888887585,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.785137414932251
12,aware,9,29,11,0.3793103448275862,8,0,0.0,11,112,4.600000000003082,0.29999999999998295,4.59166666666676,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.626538038253784
12,aware,10,29,6,0.20689655172413793,3,0,0.0,6,60,4.11666666666891,0.3333333333333333,2.5055555555554725,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.493830442428589
12,aware,11,29,7,0.2413793103448276,7,1,0.14285714285714285,7,73,4.885714285726952,0.2142857142861934,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.5194857120513916
12,aware,12,29,10,0.3448275862068966,8,0,0.0,10,99,5.1599999999999,0.13000000000017167,4.173611111111109,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.5689029693603516
12,aware,13,29,5,0.1724137931034483,4,0,0.0,5,51,5.380000000010949,0.1000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.596919298171997
12,aware,14,29,9,0.3103448275862069,5,1,0.2,9,90,2.91111111112155,0.17777777777827294,3.754166666666569,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.5161213874816895
12,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1127398014068604
12,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2402420043945312
12,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.239760637283325
12,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.3857908248901367
12,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.285027265548706
12,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.319439172744751
12,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.2384419441223145
12,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.281332015991211
12,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.232221841812134
12,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1018905639648438
12,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.171907424926758
12,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,1.9753079414367676
