radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
15,aware,14,29,29,1.0,16,0,0.0,29,291,1.7137931034510088,0.2724137931038787,12.100000000001799,2.600000000000001,29,29,27,16,1,13,2.5381875038146973
20,control,0,29,0,0.0,16,2,0.125,0,0,0.0,0.0,0.0,1.2,29,29,22,16,1,13,1.6171176433563232
20,control,1,29,0,0.0,17,1,0.058823529411764705,0,0,0.0,0.0,0.0,7.999999999999988,29,29,21,17,3,13,1.5835151672363281
20,control,2,29,0,0.0,18,5,0.2777777777777778,0,0,0.0,0.0,0.0,5.999999999999995,29,29,21,18,3,11,1.5609066486358643
20,control,3,29,0,0.0,20,5,0.25,0,0,0.0,0.0,0.0,7.39999999999999,29,29,24,21,4,9,1.5379314422607422
20,control,4,29,0,0.0,20,4,0.2,0,0,0.0,0.0,0.0,8.899999999999984,29,29,25,20,3,10,1.6286029815673828
20,control,5,29,0,0.0,22,2,0.09090909090909091,0,0,0.0,0.0,0.0,10.799999999999978,29,29,23,23,5,7,1.6306939125061035
20,control,6,29,0,0.0,21,3,0.14285714285714285,0,0,0.0,0.0,0.0,3.2000000000000015,29,29,23,22,2,8,1.6206223964691162
20,control,7,29,0,0.0,15,3,0.2,0,0,0.0,0.0,0.0,0.6,29,29,18,15,2,14,1.5586130619049072
20,control,8,29,0,0.0,15,4,0.26666666666666666,0,0,0.0,0.0,0.0,16.599999999999966,29,29,22,16,7,15,1.5940322875976562
20,control,9,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,20.200000000000017,29,29,24,17,7,14,1.5530765056610107
20,control,10,29,0,0.0,16,1,0.0625,0,0,0.0,0.0,0.0,9.499999999999982,29,29,21,17,3,14,1.5535767078399658
20,control,11,29,0,0.0,17,4,0.23529411764705882,0,0,0.0,0.0,0.0,13.09999999999997,29,29,24,17,5,14,1.6668732166290283
20,control,12,29,0,0.0,14,2,0.14285714285714285,0,0,0.0,0.0,0.0,6.099999999999994,29,29,18,14,3,15,1.7224059104919434
20,control,13,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,0.8999999999999999,29,29,18,16,1,13,1.735053300857544
20,control,14,29,0,0.0,15,2,0.13333333333333333,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,16,2,14,1.6292393207550049
20,detection,0,29,28,0.9655172413793104,17,0,0.0,28,280,2.175000000003081,0.2964285714288591,11.681944444446149,0.0,29,29,23,17,0,12,2.3735456466674805
20,detection,1,29,28,0.9655172413793104,23,1,0.043478260869565216,28,282,4.360714285718729,0.3571428571433799,11.681944444446149,0.0,29,29,27,23,0,6,2.3093903064727783
20,detection,2,29,29,1.0,18,0,0.0,29,291,3.706896551731409,0.2827586206901321,12.100000000001799,0.0,29,29,25,18,0,11,2.2121047973632812
20,detection,3,29,28,0.9655172413793104,19,2,0.10526315789473684,28,281,2.985714285720264,0.3892857142860556,11.683333333335037,0.0,29,29,26,19,0,10,2.3599767684936523
20,detection,4,29,29,1.0,22,0,0.0,29,291,4.572413793104489,0.36896551724206594,12.100000000001799,7.499999999999989,29,29,24,22,2,7,2.3828213214874268
20,detection,5,29,27,0.9310344827586207,22,2,0.09090909090909091,27,271,4.09259259259886,0.14444444444455098,11.266666666668275,0.0,29,29,25,22,0,7,2.3092503547668457
20,detection,6,29,28,0.9655172413793104,24,1,0.041666666666666664,28,280,3.582142857146533,0.350000000000379,11.681944444446149,0.0,29,29,27,24,0,5,2.322307586669922
20,detection,7,29,28,0.9655172413793104,24,1,0.041666666666666664,28,284,4.960714285719995,0.31428571428598573,11.681944444446149,0.0,29,29,28,24,0,5,2.3425381183624268
20,detection,8,29,27,0.9310344827586207,21,1,0.047619047619047616,27,270,2.496296296300165,0.22592592592640467,11.265277777779387,0.0,29,29,27,21,0,8,2.218543529510498
20,detection,9,29,28,0.9655172413793104,25,0,0.0,28,278,3.3964285714327755,0.3392857142862096,11.681944444446149,0.0,29,29,25,25,0,4,2.298323631286621
20,detection,10,29,26,0.896551724137931,18,1,0.05555555555555555,26,261,2.7538461538476238,0.20769230769238553,10.848611111112625,3.4000000000000017,29,29,25,18,1,11,2.21783447265625
20,detection,11,29,28,0.9655172413793104,25,1,0.04,28,275,3.035714285718482,0.3428571428577446,11.681944444446149,0.0,29,29,27,25,0,4,2.2603847980499268
20,detection,12,29,29,1.0,15,2,0.13333333333333333,29,290,5.000000000003313,0.2827586206898106,12.100000000001799,0.0,29,29,22,15,0,14,2.282662868499756
20,detection,13,29,28,0.9655172413793104,24,1,0.041666666666666664,28,282,2.5000000000030655,0.3571428571432591,11.683333333335037,0.0,29,29,28,24,0,5,2.240103244781494
20,detection,14,29,28,0.9655172413793104,19,3,0.15789473684210525,28,277,4.417857142864839,0.16428571428588562,11.681944444446149,0.0,29,29,26,19,0,10,2.2355875968933105
20,aware,0,29,26,0.896551724137931,18,2,0.1111111111111111,26,261,4.6076923076967695,0.2500000000000514,10.847222222223737,3.700000000000002,29,29,23,18,1,11,2.2751383781433105
20,aware,1,29,27,0.9310344827586207,22,1,0.045454545454545456,27,268,2.692592592598342,0.30740740740784783,11.265277777779387,3.0000000000000013,29,29,25,22,1,7,2.267758369445801
20,aware,2,29,29,1.0,25,2,0.08,29,291,3.627586206900783,0.3344827586209421,12.100000000001799,0.0,29,29,27,25,0,4,2.3236536979675293
