awareness_persist_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
60,aware,0,29,4,0.13793103448275862,4,0,0.0,4,48,9.24999999999438,0.19999999999983942,3.33749999999987,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.647700548171997
60,aware,1,29,9,0.3103448275862069,8,1,0.125,9,106,9.377777777793552,0.22222222222267696,7.5055555555563105,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.5855553150177
60,aware,2,29,6,0.20689655172413793,6,0,0.0,6,73,10.33333333335247,0.3000000000008261,5.001388888889075,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.6619670391082764
60,aware,3,29,5,0.1724137931034483,5,1,0.2,5,60,9.380000000015935,0.5600000000016735,4.169444444444441,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.612051248550415
60,aware,4,29,7,0.2413793103448276,6,1,0.16666666666666666,7,85,9.142857142855503,0.18571428571429546,5.838888888889265,100.0,100.0,0.0,0.0,29,9,6,6,0,23,3.771247625350952
60,aware,5,29,5,0.1724137931034483,5,1,0.2,5,62,10.799999999998544,0.2199999999997999,4.17222222222222,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.641092300415039
60,aware,6,29,8,0.27586206896551724,8,0,0.0,8,95,9.112500000020063,0.3625000000009351,6.66805555555612,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.6464991569519043
60,aware,7,29,9,0.3103448275862069,7,2,0.2857142857142857,9,107,7.93333333334421,0.3222222222224755,7.5041666666674205,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.715914487838745
60,aware,8,29,5,0.1724137931034483,5,0,0.0,5,58,11.580000000012296,0.22000000000039108,4.168055555555552,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.667210340499878
60,aware,9,29,7,0.2413793103448276,7,0,0.0,7,85,8.05714285716,0.17142857142867132,5.833333333333708,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3961167335510254
60,aware,10,29,6,0.20689655172413793,6,0,0.0,6,74,9.733333333349796,0.21666666666700016,5.004166666666854,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.232778787612915
60,aware,11,29,5,0.1724137931034483,5,0,0.0,5,60,7.820000000007826,0.879999999999842,4.169444444444441,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.35499906539917
60,aware,12,29,9,0.3103448275862069,9,0,0.0,9,107,9.700000000017601,0.2666666666669515,7.502777777778531,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.258967638015747
60,aware,13,29,4,0.13793103448275862,4,0,0.0,4,48,10.95000000000362,0.12499999999997158,3.336111111110981,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.232347249984741
60,aware,14,29,4,0.13793103448275862,4,1,0.25,4,47,8.925000000012346,0.12500000000034106,3.336111111110981,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.1689376831054688
60,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.2102513313293457
60,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.06227707862854
60,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1477973461151123
60,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1173689365386963
60,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.2116098403930664
60,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.146336317062378
60,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1414670944213867
60,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.115049362182617
60,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.1457157135009766
