radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
10,aware,8,29,2,0.06896551724137931,2,0,0.0,2,21,5.750000000013756,0.1500000000005457,0.8333333333333414,100.0,100.0,0.0,0.0,29,2,2,2,0,27,4.743385076522827
10,aware,9,29,4,0.13793103448275862,4,0,0.0,4,42,8.899999999998514,0.22500000000029274,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.9032697677612305
10,aware,10,29,3,0.10344827586206896,3,0,0.0,3,31,6.300000000001849,0.23333333333312112,1.252777777777766,100.0,100.0,0.0,0.0,29,5,3,3,0,26,3.893460273742676
10,aware,11,29,6,0.20689655172413793,6,0,0.0,6,61,8.18333333334463,0.3833333333338989,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.9137604236602783
10,aware,12,29,5,0.1724137931034483,5,0,0.0,5,49,8.09999999999393,0.2799999999997794,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.84399151802063
10,aware,13,29,2,0.06896551724137931,2,0,0.0,2,19,10.849999999995546,0.29999999999972715,0.8347222222222304,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.872072696685791
10,aware,14,29,4,0.13793103448275862,4,1,0.25,4,40,6.000000000005343,0.15000000000009095,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.794473648071289
10,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1335909366607666
10,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.13783860206604
10,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.073286294937134
