detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,detection,6,29,29,1.0,19,1,0.05263157894736842,29,294,3.610344827589563,0.658620689655972,12.100000000001799,0.0,29,29,26,19,0,10,2.4850029945373535
1.0,detection,7,29,29,1.0,23,1,0.043478260869565216,29,290,2.565517241380467,0.631034482759463,12.100000000001799,0.0,29,29,28,23,0,6,2.491072416305542
1.0,detection,8,29,29,1.0,19,0,0.0,29,292,3.2034482758652367,1.2689655172425665,12.100000000001799,0.0,29,29,28,19,0,10,2.4434778690338135
1.0,detection,9,29,29,1.0,19,0,0.0,29,285,2.755172413796809,0.8482758620700463,12.100000000001799,0.0,29,29,25,19,0,10,2.439711570739746
1.0,detection,10,29,28,0.9655172413793104,21,0,0.0,28,279,3.5535714285787634,1.26428571428857,11.681944444446149,0.0,29,29,27,21,0,8,2.4622161388397217
1.0,detection,11,29,29,1.0,21,6,0.2857142857142857,29,292,2.555172413795838,0.7965517241390647,12.100000000001799,0.0,29,29,28,21,0,8,2.428943634033203
1.0,detection,12,29,29,1.0,19,1,0.05263157894736842,29,291,3.8448275862129564,0.8310344827597888,12.100000000001799,10.29999999999998,29,29,27,19,3,10,2.4641478061676025
1.0,detection,13,29,27,0.9310344827586207,19,0,0.0,27,273,2.8888888888941398,0.8259259259268548,11.266666666668275,3.4000000000000017,29,29,24,19,1,10,2.4399943351745605
1.0,detection,14,29,29,1.0,17,2,0.11764705882352941,29,290,2.9586206896572533,1.0068965517249127,12.100000000001799,1.0999999999999999,29,29,26,17,1,12,2.4775826930999756
1.0,aware,0,29,27,0.9310344827586207,20,1,0.05,27,271,2.39259259259376,0.6666666666674035,11.263888888890497,0.0,29,29,25,20,0,9,2.448756217956543
1.0,aware,1,29,29,1.0,18,0,0.0,29,290,3.0655172413835787,0.8586206896559282,12.100000000001799,0.0,29,29,25,18,0,11,2.5680060386657715
1.0,aware,2,29,26,0.896551724137931,21,3,0.14285714285714285,26,263,2.2769230769243105,0.8269230769233951,10.847222222223737,0.0,29,29,25,21,0,8,2.496875524520874
1.0,aware,3,29,29,1.0,21,0,0.0,29,292,3.6310344827633205,1.1965517241392782,12.100000000001799,0.0,29,29,27,21,0,8,2.600233316421509
1.0,aware,4,29,29,1.0,20,2,0.1,29,290,2.5034482758636516,1.0275862068981123,12.100000000001799,0.0,29,29,26,20,0,9,2.522087812423706
1.0,aware,5,29,29,1.0,21,0,0.0,29,294,3.4827586206944465,0.9793103448296396,12.100000000001799,0.0,29,29,27,21,0,8,2.5186800956726074
1.0,aware,6,29,27,0.9310344827586207,21,1,0.047619047619047616,27,272,2.8777777777805995,1.0148148148161436,11.265277777779387,2.3000000000000007,29,29,24,21,1,8,2.510671854019165
1.0,aware,7,29,29,1.0,24,1,0.041666666666666664,29,290,2.29655172414121,0.9137931034486209,12.100000000001799,0.0,29,29,27,24,0,5,2.502035617828369
1.0,aware,8,29,29,1.0,20,0,0.0,29,294,2.5758620689692684,0.6896551724147378,12.100000000001799,0.0,29,29,26,20,0,9,2.5100691318511963
1.0,aware,9,29,29,1.0,17,1,0.058823529411764705,29,288,3.610344827591005,0.6620689655179829,12.100000000001799,0.0,29,29,27,17,0,12,2.5256781578063965
1.0,aware,10,29,28,0.9655172413793104,18,0,0.0,28,283,3.5107142857192164,1.4035714285727547,11.683333333335037,0.0,29,29,26,18,0,11,2.5128612518310547
1.0,aware,11,29,29,1.0,23,0,0.0,29,288,2.717241379313662,0.8724137931048491,12.100000000001799,0.0,29,29,27,23,0,6,2.4654924869537354
1.0,aware,12,29,29,1.0,20,1,0.05,29,295,3.965517241384204,0.9379310344840078,12.100000000001799,0.0,29,29,25,20,0,9,2.5593180656433105
1.0,aware,13,29,29,1.0,22,0,0.0,29,290,2.831034482761335,0.9103448275874773,12.100000000001799,0.0,29,29,28,22,0,7,2.5003886222839355
1.0,aware,14,29,28,0.9655172413793104,14,2,0.14285714285714285,28,279,2.1714285714323043,0.8071428571440963,11.681944444446149,0.0,29,29,26,14,0,15,2.487100601196289
2.0,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.540550708770752
2.0,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.6610612869262695
2.0,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.6463468074798584
2.0,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.572699785232544
2.0,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5518574714660645
2.0,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.548734188079834
2.0,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5418310165405273
2.0,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5616204738616943
2.0,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.6991479396820068
2.0,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5869379043579102
2.0,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5489766597747803
2.0,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5894556045532227
2.0,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5584847927093506
2.0,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5595457553863525
2.0,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.53273344039917
2.0,detection,0,29,29,1.0,20,1,0.05,29,292,1.5793103448292851,0.49310344827644753,12.100000000001799,0.0,29,29,29,20,0,9,2.4698777198791504
2.0,detection,1,29,29,1.0,19,1,0.05263157894736842,29,292,1.9000000000027841,0.43103448275874223,12.100000000001799,0.0,29,29,28,19,0,10,2.4311301708221436
2.0,detection,2,29,28,0.9655172413793104,19,3,0.15789473684210525,28,280,2.4964285714310464,0.4857142857149717,11.683333333335037,0.0,29,29,25,19,0,10,2.412564992904663
2.0,detection,3,29,29,1.0,19,2,0.10526315789473684,29,290,1.682758620690071,0.44482758620710944,12.100000000001799,0.0,29,29,26,19,0,10,2.420239210128784
2.0,detection,4,29,29,1.0,18,3,0.16666666666666666,29,291,2.662068965519491,0.6034482758625757,12.100000000001799,6.299999999999994,29,29,27,18,2,11,2.4290997982025146
2.0,detection,5,29,29,1.0,22,0,0.0,29,290,1.799999999999497,0.3275862068968477,12.100000000001799,0.0,29,29,25,22,0,7,2.406310796737671
2.0,detection,6,29,29,1.0,17,0,0.0,29,289,3.7344827586272142,0.513793103448968,12.100000000001799,0.0,29,29,26,17,0,12,2.402360200881958
2.0,detection,7,29,29,1.0,22,2,0.09090909090909091,29,291,1.9344827586222673,0.44827586206938597,12.100000000001799,1.8000000000000005,29,29,27,22,1,7,2.4250662326812744
2.0,detection,8,29,29,1.0,17,2,0.11764705882352941,29,292,2.9068965517261525,0.3827586206903351,12.100000000001799,8.599999999999985,29,29,24,17,3,12,2.4150309562683105
2.0,detection,9,29,29,1.0,14,0,0.0,29,288,2.2896551724165857,0.45517241379374207,12.100000000001799,3.4000000000000017,29,29,24,14,1,15,2.4067211151123047
2.0,detection,10,29,28,0.9655172413793104,19,1,0.05263157894736842,28,278,2.4928571428581887,0.41785714285784287,11.681944444446149,0.0,29,29,25,19,0,10,2.4150538444519043
2.0,detection,11,29,29,1.0,21,1,0.047619047619047616,29,290,3.706896551727283,0.4310344827592715,12.100000000001799,2.9000000000000012,29,29,25,21,1,8,2.439729928970337
2.0,detection,12,29,29,1.0,18,0,0.0,29,289,2.1241379310366977,0.47241379310408005,12.100000000001799,0.0,29,29,26,18,0,11,2.4080276489257812
2.0,detection,13,29,28,0.9655172413793104,20,1,0.05,28,282,1.9821428571456343,0.43214285714306505,11.683333333335037,0.0,29,29,27,20,0,9,2.4208433628082275
2.0,detection,14,29,29,1.0,20,1,0.05,29,290,2.082758620691537,0.38965517241432956,12.100000000001799,0.0,29,29,28,20,0,9,2.3898332118988037
2.0,aware,0,29,28,0.9655172413793104,21,0,0.0,28,281,2.9607142857160844,0.31785714285730143,11.683333333335037,0.0,29,29,27,21,0,8,2.479848861694336
2.0,aware,1,29,29,1.0,21,1,0.047619047619047616,29,290,3.541379310348565,0.5724137931041822,12.100000000001799,1.2,29,29,27,21,1,8,2.4639501571655273
2.0,aware,2,29,29,1.0,22,1,0.045454545454545456,29,287,2.527586206901215,0.5689655172422574,12.100000000001799,0.0,29,29,27,22,0,7,2.4551329612731934
2.0,aware,3,29,28,0.9655172413793104,23,0,0.0,28,282,3.0107142857163183,0.3964285714288524,11.683333333335037,0.0,29,29,27,23,0,6,2.4298338890075684
