size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.75,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5476019382476807
0.75,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5004570484161377
0.75,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.511690378189087
0.75,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.500316858291626
0.75,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5579087734222412
0.75,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5478644371032715
0.75,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5740790367126465
0.75,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.551124095916748
0.75,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5711967945098877
0.75,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.518890142440796
0.75,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.545907735824585
0.75,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5159225463867188
0.75,detection,0,29,29,1.0,23,0,0.0,29,291,2.200000000001291,0.4068965517245509,12.100000000001799,0.0,29,29,28,23,0,6,2.4852285385131836
0.75,detection,1,29,29,1.0,23,4,0.17391304347826086,29,291,2.803448275864851,0.24827586206906901,12.100000000001799,1.5000000000000002,29,29,28,23,1,6,2.4384374618530273
0.75,detection,2,29,29,1.0,16,0,0.0,29,291,1.5999999999999512,0.30689655172440666,12.100000000001799,3.900000000000002,29,29,25,16,1,13,2.4512946605682373
0.75,detection,3,29,28,0.9655172413793104,19,0,0.0,28,278,1.6678571428599673,0.4178571428577586,11.683333333335037,0.0,29,29,27,19,0,10,2.4567601680755615
0.75,detection,4,29,29,1.0,16,2,0.125,29,290,3.0793103448279355,0.5000000000003342,12.100000000001799,2.500000000000001,29,29,27,16,1,13,2.4461989402770996
0.75,detection,5,29,29,1.0,20,0,0.0,29,289,2.9241379310380533,0.27931034482778494,12.100000000001799,0.0,29,29,24,20,0,9,2.479930877685547
0.75,detection,6,29,29,1.0,16,1,0.0625,29,291,3.386206896555458,0.403448275862294,12.100000000001799,1.2,29,29,28,16,1,13,2.4453628063201904
0.75,detection,7,29,28,0.9655172413793104,18,1,0.05555555555555555,28,280,2.9142857142899468,0.44642857142871456,11.683333333335037,0.0,29,29,25,18,0,11,2.500746965408325
0.75,detection,8,29,29,1.0,24,1,0.041666666666666664,29,287,1.993103448278289,0.337931034483104,12.100000000001799,4.699999999999999,29,29,28,24,2,5,2.4471354484558105
0.75,detection,9,29,29,1.0,19,1,0.05263157894736842,29,291,1.075862068967924,0.4034482758627193,12.100000000001799,0.0,29,29,28,19,0,10,2.456118106842041
0.75,detection,10,29,28,0.9655172413793104,17,1,0.058823529411764705,28,279,2.7214285714304487,0.34285714285757,11.681944444446149,0.0,29,29,25,17,0,12,2.465331792831421
0.75,detection,11,29,27,0.9310344827586207,16,1,0.0625,27,269,2.8444444444467343,0.3962962962967359,11.266666666668275,0.0,29,29,27,16,0,13,2.503342866897583
0.75,detection,12,29,29,1.0,20,0,0.0,29,291,2.2896551724183163,0.34482758620713566,12.100000000001799,3.5000000000000018,29,29,26,20,1,9,2.460921049118042
0.75,detection,13,29,29,1.0,20,0,0.0,29,289,2.465517241380346,0.35517241379360365,12.100000000001799,0.0,29,29,27,20,0,9,2.4157328605651855
0.75,detection,14,29,29,1.0,26,2,0.07692307692307693,29,290,1.5758620689666596,0.45172413793144295,12.100000000001799,0.0,29,29,28,26,0,3,2.4530413150787354
0.75,aware,0,29,29,1.0,16,2,0.125,29,292,2.258620689658882,0.2689655172416453,12.100000000001799,0.0,29,29,25,16,0,13,2.4615073204040527
0.75,aware,1,29,28,0.9655172413793104,19,2,0.10526315789473684,28,283,1.9535714285729446,0.40357142857177614,11.681944444446149,2.0000000000000004,29,29,25,19,1,10,2.4723145961761475
0.75,aware,2,29,29,1.0,19,2,0.10526315789473684,29,294,2.7724137931066424,0.2862068965520793,12.100000000001799,0.0,29,29,28,19,0,10,2.4882164001464844
0.75,aware,3,29,28,0.9655172413793104,22,0,0.0,28,282,2.3607142857150984,0.24642857142880611,11.683333333335037,0.0,29,29,27,22,0,7,2.4717929363250732
0.75,aware,4,29,28,0.9655172413793104,22,3,0.13636363636363635,28,279,2.0821428571446483,0.39285714285742096,11.681944444446149,3.2000000000000015,29,29,26,22,1,7,2.5153560638427734
0.75,aware,5,29,29,1.0,23,2,0.08695652173913043,29,292,2.9482758620720086,0.32413793103486616,12.100000000001799,0.0,29,29,29,23,0,6,2.525803565979004
0.75,aware,6,29,28,0.9655172413793104,17,3,0.17647058823529413,28,284,2.707142857146517,0.3928571428575844,11.683333333335037,0.0,29,29,23,17,0,12,2.5785696506500244
